Date,Price,Open,High,Low,Vol.,Change %
12/09/2025,0.665,0.6658,0.667,0.6629,,-0.14%
11/09/2025,0.6659,0.6614,0.6667,0.6592,,0.68%
10/09/2025,0.6614,0.6586,0.6637,0.658,,0.44%
9/09/2025,0.6585,0.6591,0.6621,0.6582,,-0.09%
8/09/2025,0.6591,0.6552,0.66,0.6545,,0.55%
7/09/2025,0.6555,0.6554,0.6556,0.6546,,-0.03%
5/09/2025,0.6557,0.6518,0.659,0.6512,,0.60%
4/09/2025,0.6518,0.6543,0.6551,0.6501,,-0.41%
3/09/2025,0.6545,0.652,0.6556,0.6502,,0.38%
2/09/2025,0.652,0.6554,0.656,0.6483,,-0.49%
1/09/2025,0.6552,0.6538,0.6562,0.6533,,0.17%
29/08/2025,0.6541,0.6532,0.655,0.6522,,0.14%
28/08/2025,0.6532,0.6505,0.6539,0.6502,,0.40%
27/08/2025,0.6506,0.6495,0.6514,0.6462,,0.17%
26/08/2025,0.6495,0.648,0.6502,0.647,,0.19%
25/08/2025,0.6483,0.6496,0.6506,0.6471,,-0.11%
22/08/2025,0.649,0.6426,0.6503,0.6414,,1.09%
21/08/2025,0.642,0.6429,0.6438,0.6414,,-0.22%
20/08/2025,0.6434,0.6458,0.6461,0.6423,,-0.31%
19/08/2025,0.6454,0.6494,0.6499,0.6449,,-0.59%
18/08/2025,0.6492,0.6509,0.6526,0.6481,,-0.23%
15/08/2025,0.6507,0.649,0.6524,0.6487,,0.18%
14/08/2025,0.6495,0.6546,0.657,0.6482,,-0.78%
13/08/2025,0.6546,0.6528,0.6564,0.6516,,0.26%
12/08/2025,0.6529,0.6513,0.6542,0.6481,,0.25%
11/08/2025,0.6513,0.652,0.6531,0.6501,,-0.20%
8/08/2025,0.6526,0.6519,0.6536,0.6511,,0.03%
7/08/2025,0.6524,0.6504,0.6543,0.6489,,0.32%
6/08/2025,0.6503,0.6468,0.651,0.6463,,0.46%
5/08/2025,0.6473,0.6467,0.6481,0.6449,,0.08%
4/08/2025,0.6468,0.6476,0.6491,0.6459,,-0.14%
1/08/2025,0.6477,0.6426,0.6494,0.6419,,0.79%
31/07/2025,0.6426,0.6434,0.6478,0.6424,,-0.11%
30/07/2025,0.6433,0.6513,0.653,0.6426,,-1.18%
29/07/2025,0.651,0.6519,0.6531,0.6496,,-0.17%
28/07/2025,0.6521,0.6566,0.6587,0.6513,,-0.70%
25/07/2025,0.6567,0.6593,0.66,0.6551,,-0.36%
24/07/2025,0.6591,0.66,0.6626,0.6586,,-0.17%
23/07/2025,0.6602,0.6554,0.6604,0.6546,,0.72%
22/07/2025,0.6555,0.6528,0.6559,0.6504,,0.46%
21/07/2025,0.6525,0.6522,0.6539,0.6498,,0.23%
18/07/2025,0.651,0.6486,0.6542,0.6483,,0.32%
17/07/2025,0.6489,0.653,0.6534,0.6454,,-0.60%
16/07/2025,0.6528,0.6513,0.6555,0.6495,,0.20%
15/07/2025,0.6515,0.6551,0.6577,0.6507,,-0.46%
14/07/2025,0.6545,0.6574,0.6588,0.6542,,-0.53%
11/07/2025,0.658,0.6587,0.6597,0.6556,,-0.11%
10/07/2025,0.6587,0.6536,0.6592,0.6528,,0.78%
9/07/2025,0.6536,0.6528,0.655,0.6509,,0.08%
8/07/2025,0.6531,0.6492,0.6558,0.649,,0.62%
7/07/2025,0.6491,0.6556,0.6566,0.6485,,-0.95%
4/07/2025,0.6553,0.6573,0.6581,0.6545,,-0.29%
3/07/2025,0.6572,0.6584,0.6588,0.6537,,-0.18%
2/07/2025,0.6584,0.6583,0.659,0.6543,,0.02%
1/07/2025,0.6583,0.6577,0.6592,0.6553,,0.03%
30/06/2025,0.6581,0.6526,0.6584,0.6522,,0.77%
27/06/2025,0.6531,0.6546,0.6563,0.6508,,-0.23%
26/06/2025,0.6546,0.6509,0.6565,0.6505,,0.51%
25/06/2025,0.6513,0.6488,0.6516,0.6484,,0.37%
24/06/2025,0.6489,0.646,0.6521,0.6456,,0.45%
23/06/2025,0.646,0.6438,0.6465,0.6372,,0.14%
20/06/2025,0.6451,0.6482,0.6497,0.6447,,-0.48%
19/06/2025,0.6482,0.6509,0.6513,0.6445,,-0.40%
18/06/2025,0.6508,0.6475,0.6538,0.6467,,0.51%
17/06/2025,0.6475,0.6524,0.6545,0.6466,,-0.75%
16/06/2025,0.6524,0.6492,0.6553,0.6466,,0.55%
13/06/2025,0.6488,0.6533,0.6535,0.6456,,-0.70%
12/06/2025,0.6534,0.6507,0.6535,0.6477,,0.51%
11/06/2025,0.6501,0.6524,0.6547,0.6495,,-0.32%
10/06/2025,0.6522,0.6517,0.6535,0.649,,0.08%
9/06/2025,0.6517,0.6492,0.6535,0.6488,,0.37%
6/06/2025,0.6493,0.6511,0.6518,0.6479,,-0.20%
5/06/2025,0.6506,0.6493,0.6539,0.6485,,0.22%
4/06/2025,0.6492,0.6458,0.6506,0.6448,,0.46%
3/06/2025,0.6462,0.6495,0.6501,0.6446,,-0.52%
2/06/2025,0.6496,0.6435,0.6502,0.6427,,1.00%
30/05/2025,0.6432,0.644,0.6454,0.6406,,-0.16%
29/05/2025,0.6442,0.6427,0.6461,0.6406,,0.23%
28/05/2025,0.6427,0.6443,0.6455,0.641,,-0.26%
27/05/2025,0.6444,0.6485,0.6497,0.6434,,-0.65%
26/05/2025,0.6486,0.6491,0.6539,0.6482,,-0.14%
23/05/2025,0.6495,0.6411,0.6501,0.6407,,1.31%
22/05/2025,0.6411,0.644,0.646,0.6406,,-0.39%
21/05/2025,0.6436,0.6422,0.6471,0.6418,,0.19%
20/05/2025,0.6424,0.6458,0.646,0.6391,,-0.51%
19/05/2025,0.6457,0.6412,0.6466,0.6396,,0.84%
16/05/2025,0.6403,0.6406,0.6438,0.6387,,-0.06%
15/05/2025,0.6407,0.6428,0.6459,0.639,,-0.33%
14/05/2025,0.6428,0.6471,0.6503,0.6422,,-0.66%
13/05/2025,0.6471,0.637,0.648,0.6361,,1.55%
12/05/2025,0.6372,0.643,0.6462,0.6356,,-0.62%
9/05/2025,0.6412,0.64,0.6434,0.6371,,0.19%
8/05/2025,0.64,0.6424,0.6466,0.6395,,-0.39%
7/05/2025,0.6425,0.6496,0.6516,0.6421,,-1.08%
