Date,Price,Open,High,Low,Vol.,Change %
23/02/2024,1.5237,1.525,1.5268,1.5194,,-0.12%
22/02/2024,1.5256,1.5265,1.5292,1.5159,,0.00%
21/02/2024,1.5256,1.5272,1.5309,1.521,,-0.09%
20/02/2024,1.527,1.5288,1.5337,1.5197,,-0.10%
19/02/2024,1.5286,1.532,1.5329,1.5261,,-0.14%
16/02/2024,1.5307,1.533,1.5394,1.5278,,-0.12%
15/02/2024,1.5326,1.5406,1.544,1.5313,,-0.49%
14/02/2024,1.5401,1.5499,1.5515,1.5393,,-0.59%
13/02/2024,1.5492,1.5321,1.5524,1.5301,,1.18%
12/02/2024,1.5312,1.5341,1.5366,1.528,,-0.09%
9/02/2024,1.5326,1.5398,1.5417,1.5302,,-0.51%
8/02/2024,1.5404,1.5338,1.5432,1.5306,,0.48%
7/02/2024,1.533,1.5328,1.535,1.5287,,0.01%
6/02/2024,1.5328,1.5428,1.5439,1.5323,,-0.62%
5/02/2024,1.5423,1.5345,1.546,1.5325,,0.48%
2/02/2024,1.5349,1.5217,1.538,1.5125,,0.89%
1/02/2024,1.5214,1.5229,1.5366,1.5197,,-0.09%
31/01/2024,1.5228,1.5147,1.5265,1.5098,,0.55%
30/01/2024,1.5145,1.5127,1.521,1.5093,,0.14%
29/01/2024,1.5124,1.5195,1.5223,1.5113,,-0.55%
26/01/2024,1.5207,1.5188,1.5216,1.5128,,0.14%
25/01/2024,1.5186,1.5204,1.5231,1.5127,,-0.11%
24/01/2024,1.5202,1.5195,1.5232,1.51,,0.06%
23/01/2024,1.5193,1.5221,1.5266,1.512,,-0.16%
22/01/2024,1.5218,1.5169,1.5231,1.5117,,0.42%
19/01/2024,1.5154,1.5215,1.5234,1.5145,,-0.37%
18/01/2024,1.5211,1.5259,1.5324,1.5207,,-0.29%
17/01/2024,1.5256,1.5188,1.5326,1.5161,,0.47%
16/01/2024,1.5184,1.5014,1.5207,1.5002,,1.15%
15/01/2024,1.5011,1.4949,1.5038,1.4912,,0.38%
12/01/2024,1.4954,1.4957,1.4977,1.4858,,0.03%
11/01/2024,1.495,1.4935,1.5045,1.4866,,0.19%
10/01/2024,1.4921,1.4955,1.4972,1.4893,,-0.19%
9/01/2024,1.495,1.4882,1.4978,1.4847,,0.48%
8/01/2024,1.4879,1.4881,1.4978,1.4847,,-0.09%
5/01/2024,1.4892,1.4901,1.506,1.4817,,-0.09%
4/01/2024,1.4905,1.4859,1.4935,1.479,,0.37%
3/01/2024,1.485,1.4782,1.4922,1.4766,,0.43%
2/01/2024,1.4786,1.4674,1.4801,1.4619,,0.74%
1/01/2024,1.4678,1.4682,1.4695,1.466,,-0.01%
29/12/2023,1.468,1.4641,1.4748,1.4604,,0.28%
28/12/2023,1.4639,1.4605,1.4655,1.4551,,0.26%
27/12/2023,1.4601,1.4656,1.4668,1.4593,,-0.35%
26/12/2023,1.4652,1.4683,1.4721,1.4647,,-0.39%
25/12/2023,1.471,1.4714,1.4766,1.4676,,0.04%
22/12/2023,1.4704,1.4701,1.4765,1.465,,0.03%
21/12/2023,1.4699,1.4856,1.487,1.4696,,-1.04%
20/12/2023,1.4854,1.4784,1.4873,1.4748,,0.46%
19/12/2023,1.4786,1.4906,1.4927,1.4759,,-0.82%
18/12/2023,1.4908,1.4925,1.4949,1.4844,,-0.15%
15/12/2023,1.493,1.4927,1.5008,1.486,,0.06%
14/12/2023,1.4921,1.501,1.5029,1.486,,-0.57%
13/12/2023,1.5006,1.5249,1.5289,1.4983,,-1.56%
12/12/2023,1.5244,1.5224,1.5292,1.5122,,0.14%
11/12/2023,1.5223,1.5196,1.527,1.5185,,0.16%
8/12/2023,1.5198,1.5151,1.525,1.5103,,0.37%
7/12/2023,1.5142,1.5267,1.5326,1.5105,,-0.82%
6/12/2023,1.5267,1.5263,1.5275,1.5155,,0.05%
5/12/2023,1.526,1.5106,1.5282,1.5091,,1.02%
4/12/2023,1.5106,1.4995,1.5144,1.4943,,0.85%
1/12/2023,1.4979,1.5137,1.5155,1.4974,,-1.05%
30/11/2023,1.5138,1.511,1.522,1.5034,,0.20%
29/11/2023,1.5108,1.5041,1.5138,1.4976,,0.47%
28/11/2023,1.5038,1.5138,1.5161,1.5,,-0.63%
27/11/2023,1.5133,1.5195,1.523,1.5117,,-0.38%
24/11/2023,1.5191,1.5253,1.527,1.517,,-0.36%
23/11/2023,1.5246,1.5283,1.5292,1.5207,,-0.25%
22/11/2023,1.5284,1.5253,1.5335,1.522,,0.20%
21/11/2023,1.5253,1.5256,1.5282,1.5173,,0.01%
20/11/2023,1.5251,1.536,1.5385,1.523,,-0.72%
17/11/2023,1.5361,1.5464,1.5501,1.5345,,-0.58%
16/11/2023,1.5451,1.5366,1.5481,1.5342,,0.57%
15/11/2023,1.5363,1.5371,1.5426,1.5285,,-0.02%
14/11/2023,1.5366,1.5682,1.5725,1.5352,,-2.00%
13/11/2023,1.5679,1.5743,1.5757,1.5642,,-0.18%
10/11/2023,1.5708,1.5705,1.5776,1.569,,0.01%
9/11/2023,1.5706,1.5612,1.5716,1.5553,,0.56%
8/11/2023,1.5618,1.5547,1.5633,1.5503,,0.58%
7/11/2023,1.5528,1.541,1.5617,1.538,,0.78%
6/11/2023,1.5408,1.5364,1.5422,1.5328,,0.35%
3/11/2023,1.5354,1.5543,1.5577,1.5338,,-1.20%
2/11/2023,1.554,1.5641,1.5653,1.5486,,-0.64%
1/11/2023,1.564,1.5783,1.5829,1.5624,,-0.87%
31/10/2023,1.5778,1.5691,1.5839,1.5677,,0.60%
30/10/2023,1.5684,1.577,1.5795,1.5662,,-0.64%
27/10/2023,1.5785,1.5812,1.5825,1.57,,-0.21%
26/10/2023,1.5818,1.5853,1.595,1.5793,,-0.20%
25/10/2023,1.585,1.5734,1.5862,1.5624,,0.74%
24/10/2023,1.5733,1.578,1.5796,1.5673,,-0.27%
23/10/2023,1.5775,1.5827,1.5902,1.5748,,-0.33%
20/10/2023,1.5828,1.58,1.5882,1.5789,,0.19%
19/10/2023,1.5798,1.5785,1.5886,1.573,,0.11%
18/10/2023,1.578,1.5713,1.5804,1.5639,,0.44%
17/10/2023,1.5711,1.577,1.5788,1.5671,,-0.33%
16/10/2023,1.5763,1.587,1.589,1.5758,,-0.81%
13/10/2023,1.5891,1.5838,1.591,1.5785,,0.35%
12/10/2023,1.5835,1.559,1.5856,1.5547,,1.57%
11/10/2023,1.5591,1.5547,1.5655,1.5512,,0.28%
10/10/2023,1.5547,1.5596,1.5651,1.5541,,-0.33%
9/10/2023,1.5598,1.5721,1.5767,1.5589,,-0.41%
6/10/2023,1.5662,1.5698,1.5841,1.5623,,-0.22%
5/10/2023,1.5696,1.5812,1.5829,1.5676,,-0.72%
4/10/2023,1.581,1.5867,1.5908,1.5764,,-0.35%
3/10/2023,1.5865,1.5716,1.5912,1.5703,,0.97%
2/10/2023,1.5713,1.5549,1.5718,1.5512,,1.13%
29/09/2023,1.5538,1.556,1.5575,1.5379,,-0.13%
28/09/2023,1.5559,1.574,1.5764,1.5544,,-1.14%
27/09/2023,1.5738,1.5625,1.5797,1.5599,,0.68%
26/09/2023,1.5632,1.5568,1.5658,1.5548,,0.44%
25/09/2023,1.5564,1.5503,1.5617,1.5495,,0.28%
22/09/2023,1.5521,1.5582,1.5618,1.5465,,-0.37%
21/09/2023,1.5579,1.5509,1.5663,1.5492,,0.44%
20/09/2023,1.5511,1.5491,1.5532,1.5354,,0.14%
19/09/2023,1.5489,1.5532,1.556,1.5444,,-0.26%
18/09/2023,1.553,1.5521,1.5586,1.5499,,-0.08%
15/09/2023,1.5542,1.5525,1.5568,1.5444,,0.12%
14/09/2023,1.5523,1.5565,1.559,1.5479,,-0.30%
13/09/2023,1.5569,1.5563,1.5674,1.5538,,0.03%
12/09/2023,1.5564,1.554,1.5606,1.5524,,0.12%
11/09/2023,1.5545,1.5646,1.5688,1.5503,,-0.85%
8/09/2023,1.5679,1.5682,1.5707,1.5586,,0.00%
7/09/2023,1.5679,1.5678,1.5719,1.5635,,0.11%
6/09/2023,1.5662,1.5673,1.5732,1.5611,,-0.04%
5/09/2023,1.5669,1.5491,1.5732,1.5466,,1.22%
4/09/2023,1.548,1.5486,1.5524,1.5429,,-0.09%
1/09/2023,1.5494,1.5428,1.5534,1.5331,,0.48%
31/08/2023,1.542,1.5443,1.5479,1.5365,,-0.11%
30/08/2023,1.5437,1.5425,1.5507,1.533,,0.08%
29/08/2023,1.5425,1.5567,1.5624,1.5413,,-0.82%
28/08/2023,1.5552,1.5603,1.5624,1.5528,,-0.44%
25/08/2023,1.562,1.5582,1.5674,1.5522,,0.28%
24/08/2023,1.5576,1.5429,1.5597,1.5409,,0.90%
23/08/2023,1.5437,1.5567,1.5601,1.5425,,-0.85%
22/08/2023,1.5569,1.5596,1.5619,1.5482,,-0.14%
21/08/2023,1.5591,1.5597,1.5656,1.557,,-0.14%
18/08/2023,1.5613,1.5616,1.5677,1.5551,,0.00%
17/08/2023,1.5613,1.5567,1.5712,1.5501,,0.33%
16/08/2023,1.5562,1.5484,1.5587,1.5428,,0.47%
15/08/2023,1.5489,1.5417,1.5502,1.5331,,0.49%
14/08/2023,1.5413,1.538,1.5496,1.5363,,0.18%
11/08/2023,1.5385,1.5342,1.5419,1.5303,,0.28%
10/08/2023,1.5342,1.5318,1.5352,1.5113,,0.17%
9/08/2023,1.5316,1.528,1.5338,1.5215,,0.24%
8/08/2023,1.5279,1.5216,1.5395,1.5202,,0.45%
7/08/2023,1.5211,1.5222,1.5257,1.5165,,-0.03%
4/08/2023,1.5216,1.5253,1.5286,1.5128,,-0.28%
3/08/2023,1.5258,1.5295,1.5354,1.5221,,-0.22%
2/08/2023,1.5291,1.512,1.5323,1.508,,1.16%
1/08/2023,1.5115,1.4879,1.5149,1.487,,1.57%
31/07/2023,1.4881,1.5017,1.505,1.4835,,-1.02%
28/07/2023,1.5035,1.491,1.5102,1.4892,,0.91%
27/07/2023,1.4899,1.4793,1.493,1.4657,,0.72%
26/07/2023,1.4793,1.4734,1.4863,1.4718,,0.52%
25/07/2023,1.4717,1.4843,1.4871,1.4717,,-0.80%
24/07/2023,1.4835,1.4852,1.4894,1.4799,,-0.17%
21/07/2023,1.4861,1.4749,1.4878,1.4729,,0.76%
20/07/2023,1.4749,1.4764,1.4783,1.4603,,-0.06%
19/07/2023,1.4758,1.4676,1.4815,1.466,,0.59%
18/07/2023,1.4671,1.467,1.4731,1.4623,,0.01%
17/07/2023,1.4669,1.4618,1.4734,1.4589,,0.35%
14/07/2023,1.4618,1.452,1.464,1.4501,,0.73%
13/07/2023,1.4512,1.4736,1.4742,1.4501,,-1.47%
12/07/2023,1.4728,1.4956,1.4969,1.4712,,-1.50%
11/07/2023,1.4952,1.4988,1.5037,1.4934,,-0.18%
10/07/2023,1.4979,1.4963,1.51,1.4931,,0.23%
7/07/2023,1.4945,1.5103,1.5113,1.492,,-0.96%
6/07/2023,1.509,1.5028,1.5155,1.495,,0.45%
5/07/2023,1.5022,1.495,1.5032,1.4926,,0.54%
4/07/2023,1.4941,1.4993,1.5059,1.4911,,-0.31%
3/07/2023,1.4988,1.5,1.5069,1.494,,-0.06%
30/06/2023,1.4997,1.5115,1.5145,1.4986,,-0.73%
29/06/2023,1.5108,1.5151,1.5165,1.5057,,-0.29%
28/06/2023,1.5152,1.4959,1.5159,1.4945,,1.30%
27/06/2023,1.4957,1.4981,1.4993,1.4877,,-0.21%
26/06/2023,1.4988,1.4978,1.5001,1.4935,,0.11%
23/06/2023,1.4972,1.4799,1.5009,1.4773,,1.18%
22/06/2023,1.4797,1.4717,1.4828,1.469,,0.58%
21/06/2023,1.4712,1.4745,1.4835,1.4694,,-0.18%
20/06/2023,1.4738,1.4598,1.4809,1.4586,,0.97%
19/06/2023,1.4596,1.4533,1.4634,1.4514,,0.33%
16/06/2023,1.4548,1.4523,1.4589,1.4492,,0.19%
15/06/2023,1.452,1.4715,1.4778,1.4506,,-1.29%
14/06/2023,1.471,1.4777,1.4801,1.4626,,-0.43%
13/06/2023,1.4773,1.4819,1.4842,1.4688,,-0.27%
12/06/2023,1.4813,1.4828,1.4859,1.4761,,-0.15%
9/06/2023,1.4835,1.489,1.4943,1.4811,,-0.36%
8/06/2023,1.4888,1.5029,1.5036,1.4882,,-0.94%
7/06/2023,1.5029,1.4986,1.5059,1.4885,,0.27%
6/06/2023,1.4988,1.511,1.513,1.4957,,-0.78%
5/06/2023,1.5106,1.5128,1.5201,1.5064,,-0.11%
2/06/2023,1.5122,1.5221,1.523,1.5063,,-0.60%
1/06/2023,1.5214,1.5378,1.5423,1.5192,,-1.01%
31/05/2023,1.537,1.5349,1.5486,1.5293,,0.18%
30/05/2023,1.5342,1.529,1.5379,1.5244,,0.32%
29/05/2023,1.5293,1.5301,1.5343,1.5256,,-0.32%
26/05/2023,1.5342,1.5368,1.5409,1.5278,,-0.18%
25/05/2023,1.537,1.529,1.539,1.527,,0.60%
24/05/2023,1.5279,1.5127,1.5316,1.5114,,1.01%
23/05/2023,1.5126,1.5029,1.5136,1.5008,,0.67%
22/05/2023,1.5026,1.5029,1.5091,1.4994,,-0.05%
19/05/2023,1.5033,1.5101,1.5117,1.4978,,-0.50%
18/05/2023,1.5108,1.5016,1.5142,1.4993,,0.63%
17/05/2023,1.5013,1.5027,1.5086,1.4983,,-0.06%
16/05/2023,1.5022,1.4924,1.5036,1.49,,0.69%
15/05/2023,1.4919,1.5048,1.5064,1.4904,,-0.82%
12/05/2023,1.5042,1.4921,1.5068,1.4908,,0.82%
11/05/2023,1.4919,1.4754,1.4951,1.4713,,1.15%
